Adams, Cat/- Blood Song, Siren Song, Demon Song, The Isis Collar, The Eldritch Conspiracy
Anderson, Evangeline/- Claimed, Hunted, Sought, Found, Revealed 
Andrews, Ilona/- Magic Bites, Magic Burns, Magic Strikes, Magic Bleeds, Magic Slays 
Banks, Maya/- Rush, Fever, Burn, Sweet Surrender, Sweet Persuasion 
Barnes, Jennifer Lynn/- Raised by Wolves, Trail by Fire, Taken by Storm, The Naturals, Killer Instinct 
Briggs, Patricia/- Moon Called, Blood Bound, Iron Kissed, Bone Crossed, Silver Borne 
Cabot, Meg/- Forever Princess, Princess Mia, Party Princess, Princess in Training, Princess in Pink 
Clare, Cassandra/- City of Bones, City of Ashes, City of Glass, City of Fallen Angels, City of Lost Souls 
Cremer, Andrea/- Shadow Days, Nightshade, Wolfsbane, Bloodrose, Aftermath 
Davidson, Mary Janice/- Undead and Unwed, Undead and Unemployed, Undead and Unappreciated, Undead and Unreturnable, Undead and Unpopular 
Delaney, Joseph/- Revenge of the Witch, Curse of the Bane, Night of the Soul Stealer, Attack of the Fiend, The Spook's Mistake 
Duncan, Glen/- The Last Werewolf, Talulla Rising, By Blood We Live 
Echols, Jennifer/- Going Too Far, Forget You, The Boys Next Door, Endless Summer, Such a Rush 
Elkeles, Simone/- Perfect Chemistry, Rules of Attraction, Chain Reaction, Leaving Paradise, Returning to Paradise 
Estep, Jennifer /- Touch of Frost, Kiss of Frost, Dark Frost, Crimson Frost, Midnight Frost 
Fantome, Stylo /- Degradation, Separation, Reparation, Completion, My Time in the Affair 
Feehan, Christine /- Dark Prince, Dark Desire, Dark Gold, Dark Magic, Dark Challenge 
Frost, Jeaniene /- Halfway to the Grave, One Foot in the Grave, At Grave's End, Destined for an Early Grave, This Side of the Grave 
Garcia, Kami /- Beautiful Creatures, Beautiful Darkness, Dream Dark, Beautiful Chaos, Beautiful Redemption 
Gow, Kailin/- Bitter Frost, Forever Frost, Silver Frost, Frost Kisses, Midnight Frost 
Gray, Claudia/- Evernight, Stargazer, Houglass, Afterlife, Balthazar 
Hamilton, Laurell K./- Strange Candy, Guilty Pleasures, The Laughing Corpse, Circus of the Damned, The Lunatic Cafe 
Higginson, Rachel/- Reckless Magic, Hopeless Magic, Fearless Magic, Endless Magic, The Reluctant King 
Hunter, C.C./- Turned at Dark, Born at Midnight, Awake at Dawn, Taken at Dusk, Whispers at Moonrise 
Ivy, Alexandra/- When Darkenss Comes, Embrace The Darkness, Darkness Everlasting, Darkness Revealed, Darkness Unleashed 
James, Julie/- Something About You, A Lot like Love, About That Night, Love Irresistibly, It Happened One Wedding 
Jewel, Bella/- Hell's Knights, Heaven's Sinners, Knight's Sinner, Bikers and Tinsel, Precarious 
Jones, Darynda/- First Grave on the Right, Second Grave on the Left, Third Grave Dead Ahead, Fourth Grave Beneath My Feet, Fifth Grave Passed the Light 
